=== NeuroJIT V2 Evolution Harness ===
Max generations: 3
Target score:    80.000000
generation,score,impact_vel,fuel,kp,ki,kd,target_v
0,-723.2192,-42.3619,0.0000,1.8109,0.3983,1.9014,-2.5414
3,-724.1697,-42.4570,0.0000,3.2289,0.2993,1.1937,-2.6100
6,-723.5058,-42.3906,0.0000,1.0460,0.0500,0.1162,-1.8519
9,-723.3621,-42.3762,0.0000,1.6680,0.3006,0.2857,-1.2298
12,-723.8037,-42.4204,0.0000,0.5720,0.0282,1.9398,-1.1950
15,-724.1369,-42.4537,0.0000,3.7849,0.1062,0.0016,-2.5454
18,-723.4314,-42.3831,0.0000,1.1419,0.3087,0.6085,-1.4709
21,-723.9856,-42.4386,0.0000,0.5247,0.2160,0.0461,-2.2719
24,-722.6209,-42.3021,0.0000,2.6415,0.1999,0.2790,-2.8833
27,-724.3248,-42.4725,0.0000,3.9081,0.1832,0.4655,-1.8598
30,-724.6847,-42.5085,0.0000,3.2481,0.3092,0.3993,-2.0438
33,-723.1140,-42.3514,0.0000,3.9413,0.2962,0.9335,-2.8839
36,-723.3036,-42.3704,0.0000,2.6264,0.3402,0.3410,-1.8738
39,-724.0665,-42.4467,0.0000,0.5464,0.4744,1.8844,-0.5859
42,-724.2656,-42.4666,0.0000,3.3294,0.1927,0.6092,-2.9601
45,-724.3294,-42.4729,0.0000,1.3081,0.3421,0.4821,-1.8996
48,-724.4139,-42.4814,0.0000,1.5000,0.0000,1.0000,-1.0000
51,-722.9482,-42.3348,0.0000,1.5000,0.0000,1.0000,-1.0000
54,-723.4476,-42.3848,0.0000,1.5000,0.0000,1.0000,-1.0000
57,-724.5769,-42.4977,0.0000,1.5000,0.0000,1.0000,-1.0000
60,-723.6363,-42.4036,0.0000,1.5000,0.0000,1.0000,-1.0000
63,-723.9440,-42.4344,0.0000,1.5000,0.0000,1.0000,-1.0000
66,-722.3865,-42.2787,0.0000,1.5000,0.0000,1.0000,-1.0000
69,-723.4157,-42.3816,0.0000,1.5000,0.0000,1.0000,-1.0000
72,-723.8978,-42.4298,0.0000,1.5000,0.0000,1.0000,-1.0000
75,-724.2796,-42.4680,0.0000,1.5000,0.0000,1.0000,-1.0000
78,-724.4690,-42.4869,0.0000,1.5000,0.0000,1.0000,-1.0000
81,-724.1483,-42.4548,0.0000,1.5000,0.0000,1.0000,-1.0000
84,-723.5819,-42.3982,0.0000,1.5000,0.0000,1.0000,-1.0000
87,-723.9729,-42.4373,0.0000,1.5000,0.0000,1.0000,-1.0000
90,-723.7220,-42.4122,0.0000,1.5000,0.0000,1.0000,-1.0000
93,-724.1480,-42.4548,0.0000,1.5000,0.0000,1.0000,-1.0000
96,-723.9185,-42.4319,0.0000,1.5000,0.0000,1.0000,-1.0000
99,-724.8641,-42.5264,0.0000,1.5000,0.0000,1.0000,-1.0000
102,-723.3163,-42.3716,0.0000,1.5000,0.0000,1.0000,-1.0000
105,-722.3176,-42.2718,0.0000,1.5000,0.0000,1.0000,-1.0000
108,-723.8657,-42.4266,0.0000,1.3375,0.1031,1.2074,-0.9919
111,-723.2668,-42.3667,0.0000,1.5578,0.4265,1.0859,-0.9588
114,-721.8834,-42.2283,0.0000,1.5256,0.0000,1.1521,-1.1642
117,-723.2313,-42.3631,0.0000,2.0013,0.0000,0.7793,-1.2816
120,-723.7578,-42.4158,0.0000,1.4577,0.1167,1.0929,-1.0415
123,-724.6782,-42.5078,0.0000,1.6386,0.0000,1.0061,-1.1894
126,-723.1420,-42.3542,0.0000,1.9364,0.0000,0.5686,-1.5185
129,-724.1869,-42.4587,0.0000,1.3768,0.0000,0.9959,-0.7100
132,-724.2584,-42.4658,0.0000,1.5435,0.0100,0.6061,-0.9881
135,-722.9589,-42.3359,0.0000,1.3401,0.4690,1.0456,-1.0049
138,-723.4596,-42.3860,0.0000,1.5000,0.0000,1.0000,-1.0000
141,-721.9987,-42.2399,0.0000,1.5000,0.0000,1.0000,-1.0000
[Harness] Evolution complete. Best score: -721.883414
