=== NeuroJIT V2 Evolution Harness ===
Max generations: 10
Target score:    80.000000
generation,score,impact_vel,fuel,kp,ki,kd,target_v
0,-723.2192,-42.3619,0.0000,1.8109,0.3983,1.9014,-2.5414
1,-724.1697,-42.4570,0.0000,1.0460,0.0500,0.1162,-1.8519
2,-723.5058,-42.3906,0.0000,3.7849,0.1062,0.0016,-2.5454
3,-723.3621,-42.3762,0.0000,2.6415,0.1999,0.2790,-2.8833
4,-723.8037,-42.4204,0.0000,3.9413,0.2962,0.9335,-2.8839
5,-724.1369,-42.4537,0.0000,3.3294,0.1927,0.6092,-2.9601
6,-723.4314,-42.3831,0.0000,0.7041,0.0000,0.2709,-2.1859
7,-723.9856,-42.4386,0.0000,1.0871,0.3679,1.2848,-1.8136
8,-722.6209,-42.3021,0.0000,4.1515,0.3711,0.5278,-2.1962
9,-724.3248,-42.4725,0.0000,2.6002,0.0000,1.7320,-2.8789
[Harness] Evolution complete. Best score: -722.620884
